id,yq,arb1,lewspread_avg,lewtspread_avg,lBP_Ratio,ni_at,lcash_at,capx_at,llev_dif,llnsize,latgr_p4
001380,20194,0,2.3490491,-.015999954,.50605458,-1.0263048,8.6126394,3.8139708,-3.5111964,9.981883,.76105988
001380,20201,0,1.9502667,.45599997,.4493205,-11.169773,7.0930123,3.7553945,-2.7018218,9.9888391,1.6152151
001380,20202,0,6.9147868,.74200004,.74067813,-1.5446252,10.040064,2.7948062,4.2395411,9.9387102,-4.7094693
001380,20203,0,3.6051414,.78200001,.42191568,-1.2432212,8.4211607,2.1794741,-4.6927748,9.8805256,-10.431116
001380,20204,0,3.1409972,.76599997,.49572822,-.51136065,6.77421,1.971638,4.3578444,9.8505611,-13.13214
001380,20211,0,2.3700678,.98799998,.35211539,1.33893,9.2396784,2.0455875,5.9466271,9.8427286,-14.611067
001380,20212,0,1.9632711,1.528,.27345043,-.38520396,9.846446,1.873252,4.987711,9.8496122,-8.9097919
001380,20213,0,1.521714,1.436,.21558541,.60002089,12.678702,2.5983512,6.191051,9.8608932,-1.9632787
001380,20214,0,1.5508914,1.3160001,.24619077,1.3596716,12.411493,2.6115959,5.4272442,9.8776569,2.7095447
001380,20221,0,1.5910904,1.452,.29146382,2.0326591,13.22447,2.6614671,4.5358925,9.9289112,8.6183052
001380,20222,1,1.7829382,1.85,.2028037,3.3690269,6.9198904,3.3488233,5.3262415,9.8933363,4.3724222
001380,20223,1,1.9198092,1.836,.23290227,2.4315393,10.193579,3.4135978,3.965497,9.9608126,9.9919462
001380,20224,0,1.8467083,.67399997,.24190295,2.2963545,11.015109,3.6640022,4.0441036,9.9824371,10.478056
001440,20131,0,.83914131,.82333332,.73784089,.66768444,1.1091287,1.6370224,6.9405675,10.903513,4.0234342
001440,20132,0,.90851349,1.3000001,.66318238,.61961502,.8065995,1.4775436,6.3874393,10.906873,3.0676565
001440,20133,0,.96242821,1.6999999,.71940875,.7875734,.75483364,1.6278943,7.5962725,10.914706,2.8747368
001440,20134,0,.98772877,2.1850002,.75714606,.6295144,.79144156,2.1596346,6.2569976,10.914415,2.0587828
001440,20141,0,.66245764,2.1700001,.71180391,.99266142,.83489913,1.6946148,6.6690893,10.940473,3.6960001
001440,20142,0,.4535135,2.1299999,.67636573,.68375468,1.0554367,1.7269188,5.7111115,10.951473,4.46
001440,20143,0,.30631009,2.0999999,.61321682,.85560566,.98403329,1.8517876,5.675313,10.961625,4.6918435
001440,20144,0,.91978759,1.53,.66008294,.32939145,.8839016,2.1441519,4.805377,10.966905,5.2488837
001440,20151,0,1.0145907,1.395,.58286607,1.0551205,.92063117,1.8932471,5.9466095,10.995964,5.5491757
001440,20152,0,.83690101,1.3100001,.63483113,.71587998,.80449051,1.8405011,3.8845003,11.002733,5.1259985
001440,20153,0,.94743806,1.505,.67986459,.85168529,.90419769,1.8083954,4.5888572,11.017612,5.5987225
001440,20154,0,1.5011805,1.08,.63725114,.76777035,.80688715,2.0687737,3.685102,11.02025,5.3346429
001440,20161,0,1.1762047,1.11,.63534826,.81254017,.91305393,2.0248659,4.0119529,11.029765,3.3800874
001440,20162,0,1.2843487,.83999997,.56602824,.80353355,.72799724,1.7859857,3.5378842,11.042706,3.9972837
001440,20163,0,.97325927,.67999995,.54037148,-1.2094679,.87448728,1.8156233,4.4662952,11.055911,3.8298481
001440,20164,0,.86626548,.59499997,.52965486,.60772759,.79977864,2.2704339,4.7192097,11.025849,.5598141
001440,20171,0,.75711548,.90500003,.5618546,.9330731,.85429281,2.1577907,3.8057299,11.058287,2.8521128
001440,20172,0,.79450595,1.27,.53995889,.60750091,.7290011,1.911279,4.3416114,11.030498,-1.2208037
001440,20173,0,.68891603,.78999996,.53022265,.86819863,.78101212,2.0754204,5.2973776,11.046741,-.91705769
001440,20174,0,.64252156,.76999992,.53220206,.62643731,1.0233737,3.0452638,5.3323956,11.06609,4.0240855
001440,20181,0,.54786682,.82000011,.50977147,.70200264,.88723618,2.9810393,7.6500864,11.077966,1.9679753
001440,20182,0,.70977634,.88333338,.549972,.80537117,.73830771,2.0088553,9.5067472,11.091475,6.0978007
001440,20183,0,.84000367,.83999997,.55075437,.86376423,.82308835,2.193656,9.0022888,11.110507,6.3767076
001440,20184,0,.67512482,.75666672,.54122937,.53743559,1.6291665,2.4291086,8.7548141,11.12162,5.5530849
001440,20191,0,1.0358496,.37,.51796818,.83252424,.87670851,2.3222895,8.6044607,11.139,6.1033573
001440,20192,0,.80340922,.065999985,.4650633,.65227222,.75224113,2.0116794,9.6726532,11.166512,7.5036197
001440,20193,0,.79535711,-.21400002,.44228628,1.0110269,.77918673,1.9399036,10.992816,11.192031,8.1524048
001440,20194,0,.67345184,-.19,.42728576,.20771115,.93124968,2.3217642,11.08005,11.210478,8.8856955
001440,20201,0,.67485499,.19500002,.4198173,.65250361,.8371073,2.3638763,11.836926,11.23707,9.8070784
